Time Stamp,Region ID,Filtered,RSS,CL1,CL2,CL3,Red Info,GSS,RP1H,RP1L,EDR,Green R^2,Green Info,VSS,RP2H,RP2L,Violet Spare1,Violet R^2,Violet Info,Bead Info
1281150700,6,0,15990.14844,54.0625,70.20703,25.82813,0,3671.5,37.40985,32.5807,8637.28906,0,0,3723.15234,7.0293,6.64844,0,0,0,0
1281152574,81,0,11166.375,21809.35547,4983.66016,1596.99609,0,6170.58984,546.83209,551.65051,5043.78418,0,0,3167.39844,19872.33398,23991.74023,0,0,1,0
1281153537,81,0,10878.26172,23193.13281,5730.19141,1823.23828,0,4943.51172,106.99261,106.62775,41138.26953,0,0,3802.45313,18910.14258,21613.8457,0,0,1,0
1281171669,71,0,12929.89063,57.71094,4576.73828,2002.65234,0,3149.87891,147006.7344,2592573,4123172.5,0,2,3255.62109,5.98242,8.35547,0,0,0,0
1281174960,81,0,10595.78516,23139.62109,5394.66406,1744.77734,0,6192.64844,518.5976,476.86298,0,0,0,2803.69922,21255.2793,28681.08984,0,0,1,0
1281175174,96,0,11704.76953,2376.21875,13655.02734,7108.41016,0,4614.85547,7214.66113,6978.44043,55122.89063,0,0,3486.08984,42.23438,39.66602,0,0,0,0
1281182547,96,0,8591.85547,1981.50781,10680.61328,5318.20313,0,4509.30469,300.07297,284.83432,12546.60547,0,0,2576.12109,24.19531,25.51563,0,0,0,0
1281183191,22,0,10569.875,1270.90625,207.875,56.88281,0,5954.82813,620.33179,621.50153,5589.55566,0,0,3754.89063,187.41016,188.85156,0,0,0,0
1281193271,352,0,13904.59766,698.70703,1392.20703,2785.12891,0,3691.85156,120436.5625,226979.375,212924.3594,0,1,3888.46094,11.52148,16.66602,0,0,0,0
1281199116,22,0,10176.10938,1257.00391,205.57031,56.38281,0,4908.38672,880.33356,848.08551,40620.09375,0,0,3993.92969,194.47461,202.10352,0,0,0,0
1281205672,153,0,13441.36719,67.41797,5430.41016,10155.44141,0,4534.72656,325.90359,306.06113,32528.57617,0,0,3589.78125,2141.81445,2144.16602,0,0,0,0
1281212048,102,0,14222.21875,57.25391,90.16016,148.98438,0,4019.95703,141171.5469,1310280.25,1329863.5,0,2,3950.52344,7.27148,7.09766,0,0,0,0
1281215051,352,0,10788.36719,641.75781,1323.57031,2575.26563,0,3852.01563,118717.0781,210017.6563,195153.0625,0,1,3453.35938,5.92383,2.74023,0,0,0,0
1281215821,102,0,10584,62.5625,89.32031,153.47656,0,6354.30469,144243.2656,1675323.375,1781829.5,0,2,3749.35547,8.03711,5.03125,0,0,0,0
1281217588,153,0,9334.09375,46.50391,3946.19141,7280.08594,0,4182.36328,12.23386,0,41374.36328,0,0,2749.91406,1357.49219,1361.26758,0,0,0,0
1281218491,81,0,9373.66016,21780.30859,5228.10938,1652.11719,0,5224.64063,457.09564,456.87027,4200.59863,0,0,3232,20718.89453,27830.76367,0,0,1,0
1281224873,153,0,16003.55078,68.33594,5423.45703,10821.12891,0,3727.05469,221.0358,208.56584,7754.24365,0,0,3317.76563,1486.05273,1494.01172,0,0,0,0
1281227259,0,1,19611.76172,1229.03906,3157.51172,17405.75781,0,7011.98828,5473.95459,5488.36719,0,0,0,6763.80078,12.71875,15.49805,0,0,0,0
1281229336,378,0,14566.07031,1297.99219,368.16797,381.48828,0,4557.125,21467.77344,21448.4668,11136.18555,0,0,3162.12891,16332.50781,16579.90039,0,0,1,0
1281230657,0,1,17580.67578,63.60938,99.75391,169.35547,0,4164.01172,140250.6719,1433213.125,1524697.625,0,2,3392.52344,4.44141,4.13281,0,0,0,0
1281234282,352,0,13942.57422,703.0625,1436.29297,2832.80078,0,3709.83984,121869.3672,249877.6875,290488.25,0,1,3954.88672,0,0,0,0,0,0
1281236331,0,1,200.57422,0,0,0.61719,0,266.89453,0.84779,13.08165,0,0,0,302.54297,0.50977,0,0,0,0,0
1281238164,500,0,10943.78125,12454.19141,7458.6875,9021.29297,0,4551.84766,208.67316,201.65479,36091.41797,0,0,3151.90234,5.7168,6.33398,0,0,0,0
1281239681,500,0,13461.58594,11783.17578,7107.69141,8452.67188,0,3239.11719,96.80846,76.26846,19135.71875,0,0,2980.62891,7.94922,13.29688,0,0,0,0
1281240417,374,0,16811.00781,748.74219,1919.72266,9958.72656,0,3703.53125,3202.41675,3198.58569,14637.70605,0,0,3953.66016,5.13086,7.05273,0,0,0,0
1281249549,96,0,11264.38672,2206.23438,12292.71484,6105.28906,0,3340.80859,19.89612,33.56799,0,0,0,3936.01953,35.48828,35.12891,0,0,0,0
1281266670,22,0,10993.54688,1272.23438,206.94531,59.33594,0,5201.21875,528.70667,530.42371,20015.69922,0,0,4184.57813,186.26367,187.81836,0,0,0,0
1281267594,22,0,9460.30469,1070.62109,169.03906,49.76953,0,3848.3125,666.58441,663.21472,65796.09375,0,0,2573.34375,163.27539,163.33594,0,0,0,0
1281274166,81,0,11923.40625,21949.29297,5124.58203,1636.65234,0,3674.81641,375.0322,384.79782,0,0,0,3411.02734,19659.50391,23697.14258,0,0,1,0
1281276431,153,0,10155.76172,61.08594,4886,9275.21484,0,6653.37891,248.98051,254.72185,40840.85547,0,0,3792.84766,1848.61523,1859.00195,0,0,0,0
1281281502,6,0,10723.27734,60.31641,77.25781,30.54297,0,6054.36328,0,0,50327.46094,0,0,3082.90234,9.24219,3.86328,0,0,0,0
1281287433,0,1,17014.07422,67.62109,5318.95313,10077.81641,0,4233.01953,138.69334,142.66397,4688.11328,0,0,3388.54688,1681.25195,1685.24414,0,0,0,0
1281288255,378,0,8326.06641,847.10547,247.33984,248.69531,0,3022.50781,14660.875,14667.73242,26733.58984,0,0,2717.67188,10490.4707,10519.98438,0,0,0,0
1281290921,81,0,11485.32031,19469.05859,4576.42578,1460.32031,0,3537.73828,254.20673,247.31714,0,0,0,3151.89844,18650.84961,21632.80273,0,0,1,0
1281295316,0,1,2206.46094,0,907.78516,702.70703,0,2834.02734,142941.7031,2485784.25,3895739.25,0,2,2087.82813,0,0,0,0,0,0
1281295395,0,1,6741.67969,22880.15625,3340.02344,877.89453,0,2576.71484,0,0,0,0,0,1545.92578,19276.50781,23892.50781,0,0,1,0
1281301538,96,0,15040.89453,2542.84375,13022.61328,6607.30859,0,4050.26172,230.03949,182.89621,49560.92969,0,0,2770.19141,11.60352,12.80273,0,0,0,0
1281320293,96,0,11357.41406,2148.36719,12023.25781,5966.80859,0,3221.53516,154.99442,128.59503,6055.60742,0,0,3581.44531,26.35352,28.83984,0,0,0,0
1281321429,374,0,13436.51953,632.09766,1663.47656,9238.32031,0,3669.80078,2771.26978,2770.1001,24124.3125,0,0,4473.74219,9.81445,7.32227,0,0,0,0
1281322866,102,0,12452.50781,59.69141,92.17188,152.625,0,4381.89453,140738.5,1447258.875,1573706.75,0,2,3595.11719,9.91211,11.5,0,0,0,0
1281326300,352,0,9876.10156,586.6875,1223.43359,2379.23438,0,4867.72656,115798.0859,185235.1094,175186.4219,0,1,3005.44141,7.29492,9.16406,0,0,0,0
1281327848,22,0,15436.22266,1391.85156,217.8125,60.5,0,4065.01953,633.56372,657.78461,0,0,0,3954.66016,179.28125,175.91406,0,0,0,0
1281329985,71,0,11700.25,60.10938,4953,2151.78125,0,4082.27344,147943.2813,2663649.5,4318972.5,0,2,3744.83203,2.46484,0.26953,0,0,0,0
1281333197,352,0,12173.07813,671.83203,1368.89063,2695.47266,0,3614.39844,117134.5391,244507.0469,282062.5313,0,1,3722.87109,8.71484,9.0293,0,0,0,0
1281336031,378,0,16271.80078,1178.625,349.43359,360.30078,0,3376.74609,19729.50195,19802.64844,26911.42578,0,0,3385.61719,13221.61328,13260.98242,0,0,1,0
1281337132,153,0,12736.73047,63.06641,5042.53125,9360.95703,0,3755.27344,67.74768,41.46635,11881.25488,0,0,3713.67578,1589.89258,1594.05273,0,0,0,0
1281337403,81,0,12467.25,20206.89844,4776.9375,1518.08984,0,3531.45313,138.18896,123.65857,44299.44922,0,0,3150.44531,18804.10742,21505.67383,0,0,1,0
1281339798,102,0,11204.5,60.51953,88.96875,155.91406,0,4911.23828,142511.5938,1396029.75,1502692,0,2,2639.90234,7.52344,6.64844,0,0,0,0
1281343333,22,0,15449.92969,1337.01563,210.375,59.13672,0,3340.76563,640.45331,608.1731,9710.43457,0,0,3764.16406,185.37891,193.20898,0,0,0,0
1281344194,378,0,11504.0625,1180.19531,351.00391,354.32031,0,4219.40234,19872.43555,19833.99414,32163.70703,0,0,3273.76953,13662.35938,13697.30859,0,0,1,0
1281346629,153,0,10332.6875,55.45313,4254.34375,8070.80078,0,3271.59375,374.0127,387.7597,0,0,0,2786.44922,1263.53711,1262.97852,0,0,0,0
1281347412,102,0,11517.84375,52.44531,80.63281,134.74219,0,3323.0625,141868.7344,1446154.125,1517133.5,0,2,3488.09375,7.92969,8.84961,0,0,0,0
1281354164,96,0,10176.56641,2303.20703,12770.59766,6390.17188,0,6015.05078,257.53348,267.8035,0,0,0,3607.25,28.86719,32.56836,0,0,0,0
1281357293,96,0,14994.81641,2576.34375,14109.25781,7067.34766,0,4216.07031,27.59057,12.588,29112.90625,0,0,3420.69922,29.98633,31.84961,0,0,0,0
1281361587,102,0,16295.78516,60.70703,97.625,166.125,0,4289.07422,143280.5156,1541514.125,1632030.625,0,2,4152.74219,10.45703,11.85938,0,0,0,0
1281366633,22,0,15609.42188,1448.12109,224.73047,63.96875,0,3560.75391,555.86798,563.49805,0,0,0,4647.05859,160.96484,158.75391,0,0,0,0
1281384438,153,0,11723,55.44922,4804.92188,9590.73438,0,3294.11719,379.75403,394.17712,35803.20313,0,0,3670.29688,1524.04102,1532.86914,0,0,0,0
1281385565,378,0,11859.77734,1156.41797,348.02734,348.96484,0,4182.55859,18312.21094,18402.91211,41184.26172,0,0,3773.79688,13273.28516,13321.89648,0,0,1,0
1281388341,0,1,17155.46094,67.55859,5336.37891,2328.62109,0,3649.85938,150161.6719,2662500,4328772,0,2,3440.94922,13.24023,16.89063,0,0,0,0
1281491783,0,1,23095.32813,12535.11328,12181.47656,17845.01172,0,9513.625,243.30357,261.87973,55181.14844,0,0,6216.96094,1777.17969,1776.43555,0,0,0,0
1281495685,102,0,9207.64453,52.04688,79.625,131.04688,0,4197.24609,142793.5625,1408217.125,1447967.75,0,2,2560.97266,4.91602,6.60352,0,0,0,0
1281501021,96,0,10950.26563,2403.51563,13162.09766,6647.72656,0,4112.44531,178.76459,173.02327,4911.94092,0,0,3562.08984,34.3418,34.00586,0,0,0,0
1281503006,0,1,6166.60547,35.92188,2762.24219,1199.67188,0,4891.82031,68247.90625,1273717.125,2661140.5,0,2,2120.56641,3.37109,8.17578,0,0,0,0
1281507740,71,0,12488.49219,52.84766,4320.64453,1890.75,0,3324.26563,144279.0938,2499150,3954035.75,0,2,2949.73828,6.11523,9.52344,0,0,0,0
1281508227,81,0,8851.25781,17845.17188,4169.90625,1330.23828,0,3328.65234,377.13556,384.05734,0,0,0,2338.35156,17885.49023,19455.57422,0,0,1,0
1281510909,374,0,15141.85156,731.00391,1848.60938,9701.54688,0,3462.74219,3661.61572,3646.81714,39307.78906,0,0,3544.20313,9.54883,10.73633,0,0,0,0
